date,ttf,sleep,id
0,x,x,0
1,548,8,0
2,654,8,0
3,680,7,0
4,643,7.5,0
5,360,6,0
6,x,x,0
7,481,7,0
8,564,8,0
9,357,9,0
10,657,6.5,0
11,683,5,0
12,x,x,0
13,x,x,0
14,x,x,0
15,560,5,0
16,767,6,0
17,498,9,0
18,545,6.5,0
19,x,x,0
20,459,7,0
21,467,7,0
22,390,8,0
23,572,6.5,0
24,x,x,0
25,x,x,0
26,x,x,0
27,543,5,0
28,436,6,0
29,957,3.5,0
30,528,6.5,0
31,x,x,0
32,x,x,0
33,457,7.5,0
34,x,x,0
35,395,8,0
36,438,4.5,0
37,564,6.5,0
38,x,x,0
39,389,8.5,0
40,453,6,0
41,469,7,0
42,357,9,0
43,x,x,0
44,x,x,0
45,x,x,0
46,x,x,0
47,x,x,0
48,543,7,0
49,465,6.5,0
50,x,x,0
0,x,x,1
1,722,8,1
2,462,8.5,1
3,x,x,1
4,539,6.5,1
5,x,x,1
6,x,x,1
7,381,5.5,1
8,545,9,1
9,633,9,1
10,x,x,1
11,494,6.5,1
12,x,x,1
13,269,9.5,1
14,287,7,1
15,x,x,1
16,594,8,1
17,x,x,1
18,645,7,1
19,x,x,1
20,534,7.5,1
21,x,x,1
22,539,5.5,1
23,x,x,1
24,x,x,1
25,347,8.5,1
26,428,8,1
27,326,8.5,1
28,x,x,1
29,354,8.5,1
30,296,9.5,1
31,x,x,1
32,561,4,1
33,593,9,1
34,x,x,1
35,206,11.5,1
36,x,x,1
37,x,x,1
38,242,8.5,1
39,x,x,1
40,546,6,1
41,524,6.5,1
42,485,6.5,1
43,483,7,1
44,x,x,1
45,x,x,1
46,521,8.5,1
47,312,9.5,1
48,260,9,1
49,x,x,1
50,449,6.5,1
0,x,x,2
1,973,5.5,2
2,282,6.5,2
3,x,x,2
4,x,x,2
5,x,x,2
6,614,6.5,2
7,363,5,2
8,x,x,2
9,x,x,2
10,x,x,2
11,382,7.5,2
12,496,6.5,2
13,424,7,2
14,387,6,2
15,x,x,2
16,x,x,2
17,784,4,2
18,386,8,2
19,373,6.5,2
20,492,7,2
21,324,7.5,2
22,602,5.5,2
23,x,x,2
24,x,x,2
25,364,8,2
26,x,x,2
27,x,x,2
28,x,x,2
29,x,x,2
30,x,x,2
31,246,8,2
32,317,5,2
33,552,4.5,2
34,492,5,2
35,407,6,2
36,512,5.5,2
37,339,8,2
38,x,x,2
39,x,x,2
40,514,6.5,2
41,352,8,2
42,x,x,2
43,386,6,2
44,401,12,2
45,337,8,2
46,562,5.5,2
47,398,7.5,2
48,379,6.5,2
49,x,x,2
50,x,x,2
0,427.00,7,3
1,489.00,6,3
2,x,x,3
3,314.00,7,3
4,264.00,7,3
5,x,x,3
6,329.00,8,3
7,343.00,8,3
8,315.00,7,3
9,390.00,7,3
10,268.00,8,3
11,239.00,7,3
12,222.00,7,3
13,322.00,6,3
14,222.00,8,3
15,258.00,7,3
16,247.00,8,3
17,320.00,7.5,3
18,229.00,6,3
19,x,x,3
20,264.00,7,3
21,264.00,7,3
22,x,x,3
23,294.00,7,3
24,208.00,9,3
25,265.00,6,3
26,x,x,3
27,273.00,8,3
28,245.00,8,3
29,175.00,8,3
30,234.00,6,3
31,329.00,6,3
32,237.00,7,3
33,193.00,9,3
34,182.00,7,3
35,217.00,7,3
36,x,x,3
37,192.00,7,3
38,218.00,7,3
39,x,x,3
40,253.00,6.5,3
41,193.00,7,3
42,x,x,3
43,x,x,3
44,x,x,3
45,247.00,8,3
46,301.00,7.5,3
47,x,x,3
48,x,x,3
49,x,x,3
50,x,x,3
0,x,x,4
1,x,x,4
2,x,x,4
3,x,x,4
4,x,x,4
5,x,x,4
6,1022,8,4
7,x,x,4
8,x,x,4
9,852,7.5,4
10,722,8,4
11,618,4.5,4
12,x,x,4
13,x,x,4
14,x,x,4
15,918,5,4
16,501,8.5,4
17,x,x,4
18,552,7,4
19,750,7,4
20,651,8,4
21,x,x,4
22,490,8,4
23,651,7,4
24,690,7.5,4
25,740,6.5,4
26,670,8,4
27,x,x,4
28,x,x,4
29,x,x,4
30,672,7,4
31,693,6.5,4
32,589,8,4
33,x,x,4
34,x,x,4
35,890,5.5,4
36,915,7,4
37,x,x,4
38,512,6.5,4
39,583,7.5,4
40,x,x,4
41,490,8.5,4
42,x,x,4
43,513,8,4
44,579,8,4
45,479,7,4
46,450,5,4
47,444,6.5,4
48,x,x,4
49,x,x,4
50,x,x,4